name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,49617.23825596218,5.4
2_DecisionTree,Decision Tree,rmse,50050.961982675275,37.0
3_Default_Xgboost,Xgboost,rmse,49621.039241062936,8.38
4_Default_NeuralNetwork,Neural Network,rmse,49872.51998421672,2.74
5_Default_RandomForest,Random Forest,rmse,49554.11622339016,13.19
Ensemble,Ensemble,rmse,49554.11622339016,0.5
