name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,1476.2592253255111,1.7
2_DecisionTree,Decision Tree,rmse,1555.8642661796148,11.42
3_Linear,Linear,rmse,1513.1075268005986,4.06
4_Default_Xgboost,Xgboost,rmse,1478.353352640239,4.32
5_Default_NeuralNetwork,Neural Network,rmse,1515.9232909585355,1.46
6_Default_RandomForest,Random Forest,rmse,1479.1353959622943,5.93
Ensemble,Ensemble,rmse,1473.7579018537958,0.22
