feature,weight
intercept,0.010517221258445857
Time,0.00426693661801953
V1,-0.03350371563114039
V2,0.03491678000298231
V3,-0.054958695861201626
V4,-0.0430787297539709
V5,0.01413106797979769
V6,-0.03736479455589173
V7,0.006723833967919152
V8,0.014317970607265165
V9,-0.03709570069011042
V10,-0.024221614584328446
V11,0.06628354322820644
V12,0.048471911781776025
V13,0.036058213974129755
V14,0.012806969298419133
V15,-0.002465427645256592
V16,0.07574106252233942
V17,-0.0023639736337092163
V18,-0.047456376759239846
V19,-0.07578098013157264
V20,0.013665389281981386
V21,0.019099813532747794
V22,0.006414481209256833
V23,0.0323107918506571
V24,0.03238940863806695
V25,0.09084653330549008
V26,0.08576605995974255
V27,0.020433911951230083
V28,-0.05087949364465651
Class,-0.16753310800396382
