name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6931471805599453,5.25
2_DecisionTree,Decision Tree,logloss,1.192092966562092e-07,14.39
3_Linear,Linear,logloss,0.11073263043880717,5.08
4_Default_Xgboost,Xgboost,logloss,0.07224461117997236,2.55
5_Default_NeuralNetwork,Neural Network,logloss,0.4567536436195465,2.47
6_Default_RandomForest,Random Forest,logloss,0.6931471805599453,5.83
Ensemble,Ensemble,logloss,1.192092966562092e-07,0.64
