feature,mean_importance
V5,-0.00870029629574487
V13,-0.006804644911494617
V26,-0.006769930590075623
V24_ratio_V28,-0.0062581626565223255
V8,-0.005614004964467223
V18_sum_V15,-0.005516576158876285
V3,-0.005222922640307592
V22,-0.005201262650265881
V2,-0.003154927897781912
V12,-0.0030273855455173805
V23_sum_V6,-0.0025807528380830556
Class_multiply_V28,-2.0339129889856976e-06
Class,0.0
V18,0.0
Class_multiply_V11,0.0001722958189550594
V28_ratio_Class,0.00017616030600711152
Class_ratio_V24,0.0003291736181425753
V11_ratio_Class,0.0003666928590953189
V11,0.0008331928850750625
Amount,0.0014107231120417563
V3_ratio_V21,0.001544149668083472
V28,0.001853994308726925
V1,0.0019544649893966427
V16,0.002495277109707872
V23,0.0026968692876931932
V10,0.003921742946229401
V7,0.004017247834898474
V9,0.004858936608654019
V6,0.0050729187718258515
V27,0.0057416398373774545
V18_multiply_V15,0.007216974039258273
V17,0.007478413751404922
V25,0.008039565211671573
V14,0.008041596486120928
V4,0.009135427442286525
V20,0.010589501404006385
V24,0.011001591958660129
V21,0.012217066673371812
V19,0.01605042028596524
V15,0.01684044358974468
