feature,shap_importance
V5,0.01669786802451072
V6,0.009895593005719332
V1,0.005637630409541743
V21,0.0055656641656067155
V9,0.005282751344134931
V17,0.00482935622762768
V26,0.004705676735983105
V12,0.004656656406871463
V11,0.0045107880829014695
V3,0.00400719453104555
V19,0.0038085838674354307
V15,0.0036213490833718488
V25,0.003416259228564743
V24,0.003337752185623897
V18,0.0032967231634710237
V10,0.0032189712138579363
V16,0.002938106227667857
V8,0.0028111379821355287
V22,0.002632316728381274
V13,0.0019062385908795272
V7,0.001871322911212646
Amount,0.0016741117670725921
V23,0.0013839215595245137
V4,0.001286572109741949
V14,0.0010071915167500496
V27,0.0009024262399399591
V2,0.0008580167073911821
V28,0.0003446074788137223
V20,0.00032601050966900714
Class,0.0
