feature,mean_importance
V27,-0.006526871142504298
V25,-0.004638508361860261
V14,-0.004172668401758695
V7,-0.004163150899858392
V26,-0.0039209053633123105
V17,-0.003413112566388099
V28,-0.003099856963175851
V8,-0.0017049113732348965
V4,-0.0014499460218895034
V1,-0.0009825982641113562
Class_multiply_V28,-2.719064616094613e-05
Class_ratio_V24,7.221466212508077e-05
V28_ratio_Class,0.00011181239592210624
V11_ratio_Class,0.0001434608106871238
Class_multiply_V11,0.0002012524953546535
Class,0.0003200756140639971
V22,0.0008335534317206461
V11,0.0009105892503965096
V23,0.0010664269391060799
Amount,0.0014678270465097397
V3_ratio_V21,0.001481947503339054
V3,0.0016491524212915777
V20,0.0017660898352557907
V10,0.0020933382229160634
V18,0.0026588369179067818
V9,0.0029375525399738755
V24,0.0031641513767193706
V12,0.0034817879563308063
V16,0.004206995089402854
V21,0.004530029060091945
V19,0.004900397000329693
V23_sum_V6,0.005194705456038551
V24_ratio_V28,0.005315570248573209
V5,0.005696361805689687
V6,0.006822373974632745
V15,0.008504799874864456
V2,0.009421274734325347
V13,0.009895375915060622
V18_sum_V15,0.009956704811551642
V18_multiply_V15,0.014350224506602793
