feature,mean_importance
V10,-0.0020923521315723503
V8,-0.0012631453229413393
V25,-0.0007627206271884734
V9,-0.0006211224860361187
V18,-0.00045399184306920136
V21,-0.00034515527360368115
V2,-0.0003301076138313874
V11,-0.00010240263576737352
Amount,-5.494217333976703e-05
V24,0.0
V23,0.0
V22,0.0
V15,0.0
V28,0.0
Class,0.0
V7,0.0
V5,0.0
V4,0.0
V3,0.0
V1,0.0
V13,0.0
V16,1.709226485591131e-05
V12,0.00014430422645144158
V19,0.0005060962003854197
V26,0.000537525897470359
V14,0.0005730859471980709
V17,0.0013510430091329573
V20,0.0016236155848858402
V27,0.0028905789191583154
V6,0.002956893843900321
