feature,mean_importance
V9,-0.011368051026399862
V13,-0.009565983042043324
Amount,-0.008113440495681523
V19,-0.006331143493244262
V21,-0.0035289870217808605
V14,-0.0026649208559389238
V2,-0.002545983370442162
V1,-0.0023944858886579823
V10,-0.001628734852243685
V12,-0.000844530892129125
V17,-0.0007576554326316654
V27,-0.0004707042815899065
V4,-0.0004538733828220565
V6,-0.00010894698222578825
V15,-6.451435844549991e-05
Class,0.0
V7,5.670729029896293e-05
V3,0.000286348274043835
V11,0.0006295600967623826
V28,0.0008942685563986252
V16,0.0009938363271147388
V8,0.0011974635325453064
V22,0.0022843443172946287
V20,0.002679504900845231
V18,0.002772000789595985
V5,0.0029662332146757286
V24,0.0031417585253368683
V23,0.004670134505065171
V26,0.012185548329503781
V25,0.018848840144920588
