feature,mean_importance
V8,-0.011821453957106298
V2,-0.008300405055152615
V1,-0.00789459264917236
V20,-0.007539118800498556
V25,-0.005991287982895099
V17,-0.005921972435933532
V6,-0.004776125951923627
V22,-0.004159823586778688
V16,-0.0033573205876491043
V23,-0.0031010526722317746
V27,-0.0024574563514448977
V23_sum_V6,-0.002358488501039857
V13,-0.0022682856187214327
V24_ratio_V28,-0.002131798200901258
V18_sum_V15,-0.001645079479803635
Class,-0.0006381343117585425
V28_ratio_Class,0.0
V11_ratio_Class,0.0
Class_ratio_V24,1.7391615064332734e-05
Class_multiply_V11,0.000227690872878461
V3,0.0006868860474500193
V15,0.0008061628258387632
Class_multiply_V28,0.0011576882210419415
V12,0.0016027273867970538
V10,0.0033041935479644737
V7,0.0034489492428381617
V26,0.003486531966158357
Amount,0.003598847255294113
V18,0.0038233810212026766
V5,0.004435200002811057
V14,0.004665103246741231
V18_multiply_V15,0.0047501102042154745
V3_ratio_V21,0.00759154715986674
V28,0.008272690080602208
V4,0.009263126759531204
V19,0.009447369557981889
V9,0.010233214400805357
V11,0.010822785353783271
V24,0.013500579092912824
V21,0.013718076322517047
