feature,weight
intercept,-0.005341848653119186
Amount,-0.008687027989670467
V1,-0.052923863665416286
V2,-0.018863110333265043
V3,0.01810018029758541
V4,0.01727312917673525
V5,0.010768183650121442
V6,0.04276033118959299
V7,-0.010700049304989915
V8,0.0559712206046095
V9,-0.03739172232393698
V10,0.04863998520634366
V11,-0.012141461087416129
V12,0.02194678753107482
V13,-0.0798113449149614
V14,0.029700514696970166
V15,-0.03706787350149958
V16,0.03161100744405681
V17,0.029302543349932767
V18,0.04909355926816903
V19,0.03603388898884409
V20,-0.004409463913569076
V21,0.033661882414675506
V22,0.022856044507503878
V23,-0.06231455657808463
V24,-0.021850200921800837
V25,0.012709803807403991
V26,-0.000957065211554955
V27,-0.0667218499994783
V28,-0.017337515036996532
Class,0.14331506475634134
