feature,weight
intercept,-0.010771632991538292
Amount,0.023729528726911843
V1,-0.017037877705891748
V2,-0.04008246333150624
V3,0.020267337666983104
V4,-0.008387503629904725
V5,0.001505494630752895
V6,0.06022606545863054
V7,0.012050285079834775
V8,-0.006188363926502503
V9,-0.07592867199776879
V10,0.0840118005585517
V11,-0.005481896623598684
V12,-0.02392419761991124
V13,-0.06731613390393587
V14,0.017953186092658408
V15,-0.035437064903298066
V16,0.03878057292773075
V17,0.020591286141597512
V18,0.012712870019662082
V19,0.07543665937018092
V20,0.011015491609042033
V21,0.02537077271334467
V22,0.05583614408810993
V23,-0.024912938987234866
V24,-0.04440423894474404
V25,0.023855853997109794
V26,-0.003112326114367351
V27,-0.07915792056972464
V28,0.0029992880159605616
Class,0.27782714820232735
