feature,weight
intercept,-0.015261154690208495
Amount,0.029914193009692794
V1,0.011875700347833314
V2,-0.023962155288194918
V3,-0.029190826608847652
V4,0.005180366923056074
V5,-0.025547227394724224
V6,0.06834369661411098
V7,0.017286628446081437
V8,0.007101208408227647
V9,-0.04094985391709098
V10,0.05621148959751576
V11,-0.011751116077273655
V12,-0.0027128161841629625
V13,-0.065884114067413
V14,0.04132615713430429
V15,-0.05763941915628672
V16,-0.015720845284994307
V17,0.018050469667753564
V18,-0.00463062462589618
V19,0.05466858356969597
V20,0.0003198464336116792
V21,0.031114490752337295
V22,0.05934883934244755
V23,-0.01733843006009482
V24,-0.03236454145266596
V25,0.04900027229940125
V26,0.01355288434380416
V27,-0.0959090319411734
V28,0.02263134750891335
Class,0.2410517101911514
