feature,weight
intercept,-0.015085063083649815
Amount,0.008762218459624611
V1,-0.003803334641135834
V2,0.007388481415114159
V3,0.01584346268631616
V4,-0.01674615468861974
V5,-0.014442589602221927
V6,0.058042781262833326
V7,0.015651283135880923
V8,0.028017208801134258
V9,-0.031270647248309094
V10,0.054310933251934555
V11,0.017782618806671736
V12,-0.023639270905769897
V13,-0.07802042701483056
V14,0.01853013329912725
V15,-0.02296030265844797
V16,0.01828035237335221
V17,-0.0028989457129716765
V18,0.008494328811295212
V19,0.03471810185124603
V20,0.02499217143424476
V21,0.00020318158551105444
V22,0.03574605779318699
V23,-0.00828575984291869
V24,-0.04243449493898798
V25,0.026721912221221288
V26,0.030235353693644766
V27,-0.07285839122296821
V28,0.017371710074840525
Class,0.12550297574421782
