feature,mean_importance
V14,-0.030609190100340557
V7,-0.027962691710377286
V16,-0.020883398504396043
V17,-0.01854440562616224
Amount,-0.014778007944974813
V10,-0.014497292222791013
V6,-0.013403353712276545
V18,-0.008609648190673358
V26,-0.008442556570498194
V15,-0.008262484664522951
V18_sum_V15,-0.004663319819142142
V18_multiply_V15,-0.004028881666090989
V3,-0.0036874230481640955
V1,-0.0014519064812914984
V28_ratio_Class,-0.0002443641415566411
Class,9.223793703494465e-06
Class_multiply_V28,2.2126557030155425e-05
V11_ratio_Class,3.315351040571457e-05
Class_multiply_V11,4.289747631398555e-05
Class_ratio_V24,6.912391935030016e-05
V22,0.000330604454718042
V9,0.00043692553541543335
V2,0.0029016721470890515
V21,0.004558363371168994
V13,0.004621829928445819
V4,0.006470375629345248
V25,0.00663031304879338
V3_ratio_V21,0.008742942662326225
V28,0.008967698847399942
V12,0.009081687072225897
V24,0.011133008390756061
V8,0.014442255492833133
V20,0.014447890206619008
V23,0.015459182745385647
V24_ratio_V28,0.015532439238890828
V27,0.018134057200104702
V11,0.020687074174748334
V19,0.030433959913409758
V23_sum_V6,0.030988026258257584
V5,0.045031300998571576
