feature,mean_importance
V7,-0.01201772871186948
V17,-0.01127036574035667
V3_ratio_V21,-0.00910361190163449
V15,-0.008986694334154666
V1,-0.004496549460666932
V24_ratio_V28,-0.0037892370398670216
V23,-0.0026487118007123556
V23_sum_V6,-0.0013514722642434807
Class,-0.0006658756529211773
V4,-0.0005617876181830406
V13,-0.00030683133937416953
Class_multiply_V11,-0.00020119827866771356
V19,-0.00018251090164125294
V28_ratio_Class,0.0
Class_ratio_V24,0.0
V11_ratio_Class,2.4718395174794237e-05
V20,0.0001445600471041697
Class_multiply_V28,0.0002727252754388232
V27,0.0017278931518605045
V5,0.0029359900308930874
V2,0.003395643404669002
V24,0.004401853948534584
V25,0.004496455109655484
V11,0.005432613443900847
V3,0.005721837520648454
Amount,0.006012827841897694
V28,0.00766694746133254
V6,0.008368315773584944
V8,0.009164059228541266
V16,0.009630293591978067
V12,0.014934162194240952
V21,0.016374369818082046
V18_multiply_V15,0.01642493643107783
V10,0.016591566031799277
V9,0.017991559418508895
V18_sum_V15,0.018007150791110104
V26,0.020026471233541954
V22,0.022377235474069623
V18,0.02274785723451229
V14,0.02291779728271768
