feature,mean_importance
Amount,-0.0032060234792564922
V28,-0.0017304545281830563
V13,-0.0012324125206154336
V12,-0.001140639865287274
V24,-0.0001240219001142906
V1,-8.516549784827187e-05
V27,0.0
V19,0.0
V18,0.0
V17,0.0
V15,0.0
V14,0.0
Class,0.0
V4,0.0
V8,0.0
V7,0.0
V5,0.0
V6,0.0
V10,0.0004932328242305717
V20,0.0005112796135391173
V23,0.0013017567046617496
V2,0.001391938185718078
V26,0.00161500440950757
V16,0.001648417709162775
V22,0.0017492003301252223
V3,0.001983031653233258
V11,0.0023119052141057804
V21,0.003284975059650619
V9,0.004244001671582986
V25,0.0062767577035442775
