name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,50483.55482839976,16.72
2_DecisionTree,Decision Tree,rmse,52882.36181281142,188.63
3_Linear,Linear,rmse,57196.14513979896,15.18
4_Default_Xgboost,Xgboost,rmse,55959.806152018464,59.79
5_Default_NeuralNetwork,Neural Network,rmse,56854.37068781226,4.86
6_Default_RandomForest,Random Forest,rmse,56083.662496181845,45.06
Ensemble,Ensemble,rmse,50483.55482839976,1.52
