feature,mean_importance
V26,-0.01119001583575514
V25,-0.003731610688848175
V17,-0.00323062492694044
V19,-0.0031257072598091184
V21,-0.002603607914576145
V28,-0.001964709881070803
V22,-0.0012026363432629417
V1,-0.0011131279495868007
V14,-0.0005899128020318223
V18,-0.0005503120935672178
V13,-0.00033778233568879654
V15,-0.00015592057775082324
V12,-8.920723865921688e-05
Class,0.0
V8,0.0
V6,0.0
V9,0.00015096772844653828
V27,0.0002090603222125509
V10,0.00034313006205488605
V2,0.00038342188549984614
V24,0.0006194556476475377
V4,0.0007053083741788591
V23,0.0009866826075293211
V3,0.0011661155544873125
V7,0.0014271939034944837
V20,0.00207852262908812
V16,0.0021298160698592916
V5,0.005566799390581867
Amount,0.024260600683306065
V11,0.05528714849683265
