feature,weight
intercept,0.009622997709635634
Time,-0.0006312060680376394
Amount,-0.04128825649798455
V1,-0.04136932611313348
V2,0.051614828386919984
V3,-0.010413475877113953
V5,-0.05255735932321778
V6,0.061120111548559196
V7,-0.003207066628341689
V8,0.002192165307451973
V9,0.04341442996486018
V10,0.010145843064054737
V11,0.00039270513160345733
V12,0.013289479608677926
V13,-0.012478095467064573
V14,-0.02684385760134868
V15,-0.0031671891773179615
V16,0.11876404940588718
V17,0.007308376958986512
V18,-0.0026265294805500267
V19,-0.06270182006187326
V20,0.019744965751440604
V21,-0.0069680835039161206
V22,0.005059112659572242
V23,0.029447920350635582
V24,-0.03152476723981086
V25,-0.01914824591944683
V26,0.023719417056213055
V27,-0.02960753026404347
V28,0.015595740125928943
Class,-0.07021372891319608
