feature,mean_importance
V25,-0.002883358736814623
V27,-0.0023801450709607817
V16,-0.002161150608041673
V28,-0.0015102031587452603
V9,-0.0014490530692012672
V24,-0.0011334949492966206
V6,-0.0009469949756633733
V11,-0.0005189327962358715
V19,-0.00040203257425579507
V22,-0.00031845225446509585
V23,-0.00017852965526288234
V10,-0.00015276342228243145
Amount,0.0
V21,0.0
V17,0.0
V14,0.0
V12,0.0
V8,0.0
V7,0.0
V5,0.0
V4,0.0
V3,0.0
V2,0.0
Class,0.0
V20,4.4408920985006264e-17
V26,0.00022292174828872913
V1,0.0010527642893118695
V15,0.0022811591365222484
V18,0.004552938920672478
V13,0.005263124700331678
