feature,mean_importance
V24_ratio_V28,-0.2410718986672941
V15,-0.052613212928937524
V17,-0.03340536182769567
V5,-0.030973470221170096
Amount,-0.029942816895973844
V16,-0.028162547193189356
V26,-0.024635078830423218
V24,-0.01735644789323132
V3_ratio_V21,-0.014308473974493285
V8,-0.012849546204096018
V28,-0.011103222688091118
V9,-0.008050165928984488
V22,-0.007473703829812184
V23_sum_V6,-0.00666046985547899
V10,-0.0060645555515097095
V6,-0.00525501618534312
V19,-0.005252657607105959
V11,-0.005016904494415009
V23,-0.004493791302425887
V14,-0.003961898502972261
V18_sum_V15,-0.003292497018794105
Class_ratio_V24,-0.002879957929957655
V13,-0.0026565180228549146
V18_multiply_V15,-0.0016297298397264016
V4,-0.0015403418908699785
V2,-0.0007417156342103936
V27,-0.00037412318869849414
V21,-0.0002899723123856113
Class,0.0011188469734214833
Class_multiply_V28,0.0011568361441218755
V11_ratio_Class,0.0013561488062391546
V20,0.0020207921897996252
V28_ratio_Class,0.0027442554202933957
V12,0.005384951472917621
Class_multiply_V11,0.0068225790274846435
V18,0.010579067905662588
V7,0.012098687471081782
V3,0.012334924480651033
V1,0.027116919423656682
V25,0.04291194388848511
