feature,mean_importance
V9,-0.004372011551840149
V19,-0.003553379233545417
V1,-0.0035275415885874573
V13,-0.002075278837864847
V28,-0.0018948931151557603
V24,-0.001294839957025573
V18,-0.0010663394096367186
V17,-0.0008911343658835946
V6,-0.0004003367749882969
V20,-0.0003910653930184971
V2,-0.00030863217627201677
V15,-0.00027417121330124415
V12,-0.00016451966803314732
V26,-7.491516081028493e-05
V11,0.0
V10,0.0
V16,0.0
V8,0.0
V7,0.0
V5,0.0
V4,0.0
V21,0.0
V23,0.0
V27,0.0
Class,0.0
V22,0.00022522829617432905
V3,0.00028028248423277445
Amount,0.00041622346990504154
V25,0.0005380553063933036
V14,0.0005582875241659125
