feature,mean_importance
V18,-0.009974312291007315
V2,-0.00886752865074627
V27,-0.007403367435168451
V11,-0.006867533972042983
V24,-0.0035717869762207366
V16,-0.003381996370681728
V14,-0.002014577188062061
Amount,-0.0015180901953775639
V9,-0.0013936373819802839
V19,-0.000702432451375068
V4,-0.0003205787885780742
Class,2.534929789561602e-05
V10,0.00031710678868801523
V12,0.0008026075707360025
V5,0.002590163389200972
V23,0.002992474915779586
V7,0.003985440058655576
V20,0.00508935050285988
V28,0.005525183337710038
V6,0.005898756833105612
V3,0.005910054655121888
V8,0.006938822592197025
V21,0.008102015752164227
V26,0.008136348198416798
V15,0.009596729333417509
V17,0.0121940959293384
V13,0.01600557201525308
V1,0.016055874358987476
V25,0.0175198366141728
V22,0.01945963597606113
