feature,mean_importance
V25,-0.021840763031292988
V6,-0.011198428788578374
V1,-0.008827034521323851
V3,-0.0071989372370360625
V16,-0.0066891535963913284
V21,-0.006404562811085856
V5,-0.004461242754228367
V23,-0.0030408944553246718
V10,-0.0023899342026707958
V9,-0.002343146155122167
V15,-0.0018738273394300008
Amount,-0.0015442073189127826
V4,-0.0012569170282811016
Class,-2.4095994019335266e-05
V11,0.0003169972244396302
V27,0.0015288463385500605
V28,0.0018509447799906376
V24,0.0019578057319094453
V14,0.0021724509681907644
V20,0.0024070036848937715
V18,0.00257777062772937
V17,0.002958706260556454
V7,0.00397220210140623
V12,0.004063513411528374
V19,0.006593820715934529
V26,0.006959500005748876
V2,0.0070158013407398915
V22,0.01118851892674817
V8,0.014426729079488564
V13,0.017119999580828348
