feature,weight
intercept,-0.017242205110312537
Amount,0.04079327026732022
V1,-0.024691958906721212
V2,-0.031195058531688847
V3,-0.005308845671877345
V4,0.00967391003075324
V5,-0.026840776021660455
V6,0.07026477195467531
V7,0.041635516315551076
V8,0.024612919103310572
V9,-0.05072822616294227
V10,0.07243031843881455
V11,-0.026788896426569467
V12,-0.021375630321692287
V13,-0.06150164966335674
V14,0.03315301010016969
V15,-0.023357277574501078
V16,0.01788620263379373
V17,0.005629385406053914
V18,0.05135407027387245
V19,0.0465545112463813
V20,-0.0024572955267139285
V21,-0.0036167256534136603
V22,0.04196359741528906
V23,-0.02615108568494307
V24,-0.026852337661582865
V25,0.012610474078976454
V26,0.022347464799098323
V27,-0.08602734919689203
V28,0.024251954081743042
Class,0.26393202106792224
