feature,mean_importance
V16,-0.024083511959371286
V4,-0.023488928746890327
V21,-0.011127619874828599
V6,-0.010350127329561865
V2,-0.008322718657528849
V19,-0.007441933819042701
V26,-0.007416430344709424
V22,-0.0034659127935735335
V25,-0.0034227189232358237
V20,-0.0014841235758892956
V8,-0.0014196250074904881
V24,-0.0010179514196567928
V18,-0.0009487421542876629
V9,-0.0007309926083650886
Class,-0.00028013600709297926
V27,-0.00023604994577817174
V11,-0.00019741238200499112
V14,0.00048151414855310823
V23,0.0008175549250077462
Amount,0.001112410937364805
V7,0.0014765456595772885
V17,0.0015408787107889844
V13,0.0018533723274952063
V28,0.002134511816545803
V5,0.004300858426955401
V12,0.006396527907803895
V15,0.0085364404873999
V1,0.014890727504958035
V3,0.02241635143963445
V10,0.0326792802439579
