feature,mean_importance
V11,-0.0020614892507385242
V19,-0.0016583918957741473
V4,-0.0015526671023810667
V25,-0.0012986678168130483
V15,-0.0012904195013257792
V7,-0.0009658351322116455
V2,-0.0006928930218524698
V14,-0.0006747225429423632
V22,-0.0005323301467519137
Amount,-0.0005010010271325749
V16,-0.00044886965211863303
V26,-0.0004462452738764888
V17,-0.00015503526061724226
V21,-0.00010802729606731453
V18,-4.61240457742873e-05
V5,0.0
V24,0.0
Class,0.0
V28,0.0
V20,6.530408806681987e-05
V3,0.00018133899177910084
V12,0.00023021582906168625
V8,0.00025516310394482213
V13,0.0002765760305947218
V9,0.0007354361269847898
V10,0.000805483879959823
V1,0.0009958319981621777
V27,0.001011721659301279
V6,0.0010690514699524868
V23,0.0012758834617355274
