feature,mean_importance
V9,-0.00432640009886307
V7,-0.0024619720387441648
V2,-0.002399824160386732
V19,-0.0018078390337965544
V16,-0.0016152893268416735
V25,-0.00133319274991055
V4,-0.0012703721291885018
V11,-0.0008020745028763709
V15,-0.000718077611925838
V8,-0.0007069164675246764
V26,-0.0003469538240023828
V3,-0.00011712318578291914
V5,0.00013717902599956754
V27,0.00015076072536555075
V17,0.00023449502878956086
V21,0.0003965786653883363
V28,0.00046828284753166474
V18,0.00047231712608830634
V22,0.0005009279901028174
Class,0.0005146095044359811
V20,0.0009075206701681715
Amount,0.0009122381774319344
V1,0.0012961076594302013
V12,0.0015603371476070604
V14,0.0015652776279484026
V6,0.0016134078560888776
V10,0.00291566309804987
V23,0.0032307683499479324
V24,0.0033567440656204982
V13,0.004441616984922625
