feature,mean_importance
V15,-0.0047801397210534
V11,-0.003195244489699367
V3,-0.002189605290141139
V6,-0.0021664806107913213
V7,-0.0012045512786234892
V13,-0.0005340299861706033
V17,-0.0004617787688663055
V4,-0.0003621547690925597
V25,-6.439805590563453e-07
V28,0.0
V27,0.00016718674331175353
Class,0.00023809653415312048
V9,0.0003976063612019853
V21,0.0005287370677115489
V2,0.0007381006300010596
V12,0.0009802406667469565
V18,0.001036259474810186
V20,0.001039121840641477
V23,0.001403689215550874
V16,0.0014758282471914797
V10,0.0017681147582163438
V5,0.0021107278712028553
V8,0.0021325048409625014
V24,0.0023992694567985806
Amount,0.0024074133452637314
V22,0.0026299988504003167
V1,0.0031568147502570422
V14,0.0032508076510784577
V26,0.0037395290714094644
V19,0.005763775852943453
