name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,575.0804045028862,1.39
2_DecisionTree,Decision Tree,rmse,579.6767857443824,23.57
3_Default_Xgboost,Xgboost,rmse,575.2156480154316,9.55
4_Default_NeuralNetwork,Neural Network,rmse,576.3862147143757,3.12
5_Default_RandomForest,Random Forest,rmse,576.3427515749069,16.9
Ensemble,Ensemble,rmse,575.0161673387036,0.62
