feature,mean_importance
V9,-0.0023620078361355377
V16,-0.0020787115740895424
V24,-0.0016528364113881588
V11,-0.0012885025560199549
V26,-0.0012435975957426847
V19,-0.0011312251698518683
V28,-0.000786450887806045
V15,-0.0006518554039288249
V14,-0.0003030257262556013
V17,-0.00028569829826865514
V21,-2.6526594183495788e-05
V10,-6.759607267703416e-06
Amount,0.0
Class,0.0
V7,0.0
V1,0.0
V4,0.0
V2,0.0
V20,0.00040220724263544393
V5,0.0004288896758168015
V22,0.00053190870948443
V25,0.000622515319859418
V23,0.0006256333117885537
V12,0.001060006482673881
V8,0.001080252386512326
V3,0.0018086786282953237
V6,0.003248947101671629
V27,0.0032850308475096844
V18,0.004748593464605167
V13,0.006492858079758879
