feature,mean_importance
V25,-0.005965366608125277
V19,-0.005579615790711289
V11,-0.004632982367516236
V27,-0.004621147468440156
V16,-0.0025586194930358407
V10,-0.0016539331527433143
V8,-0.0014987305588010313
V7,-0.00139993816627908
V4,-0.001212547288573096
V23,-0.0012091239228914751
V9,-0.0007382045338875321
V28,-0.0006640975676795114
V22,-0.0006367266209353906
V14,-0.000301025914475872
V2,-0.0002869868541701015
V12,-0.00013322858395430347
Class,0.0
V1,4.0475834784170495e-05
V20,0.00010187810315913648
V3,0.00038457633960680137
V18,0.0010975359522608307
V5,0.0011313645906821934
V24,0.0013539548244918542
V21,0.0014776029844832729
V26,0.0015978732004330754
V6,0.0017459898059995816
V15,0.0018510357329768689
V17,0.0032506867821965545
Amount,0.004663448270888604
V13,0.00547714999382527
