name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,3.4653590453367804,5.19
2_DecisionTree,Decision Tree,rmse,3.4666958842723443,19.78
3_Default_Xgboost,Xgboost,rmse,3.4654635776151186,19.08
4_Default_NeuralNetwork,Neural Network,rmse,3.4651908234772284,10.18
5_Default_RandomForest,Random Forest,rmse,3.465646748726912,30.63
Ensemble,Ensemble,rmse,3.4651374041711804,0.46
