feature,mean_importance
Amount,-0.0040113954657458924
V16,-0.0028614095700399524
V1,-0.0006612869862347326
V21,-0.0003019731927277336
V22,-2.49682684467345e-05
V27,0.0
V26,0.0
V25,0.0
V24,0.0
V23,0.0
V20,0.0
V19,0.0
V14,0.0
Class,0.0
V11,0.0
V10,0.0
V9,0.0
V12,0.0
V5,0.0
V4,0.0
V2,0.00032273552855797136
V3,0.0006900872110394696
V15,0.0007528179916860056
V6,0.0014471096275443518
V17,0.001954996558016786
V7,0.0025362226243943464
V18,0.0036885381781200264
V28,0.004429432373118059
V8,0.00491506484467139
V13,0.0067484870317164655
